num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
170,4000,9540,9,703,585,01,5.245456218719482,1.8516559600830078,10818055569.650604,10818055569.6506
170,4000,2601,8,700,413,10,2.9232192039489746,1.4678897857666016,3634415690.674309,3634415690.674309
170,5000,5937,17,727,1322,10,15.403388977050781,4.708015203475952,31010320301.538223,31010320301.538193
170,5000,4066,19,736,22164,01,973.5433189868927,4954.374930143356,14165163097044.08,14165163097044.193
170,5000,6191,9,703,1558,10,13.95064902305603,5.152980804443359,97750546703.66885,97750546703.66884
190,1000,4154,1,759,380,10,2.4557688236236572,1.4018440246582031,1374873930.2596195,1374873930.2596192
190,1000,508,3,765,389,10,2.718217134475708,1.4416251182556152,2145997408.8997102,2145997408.8997097
190,1000,3012,4,768,732,10,6.359689235687256,2.1930301189422607,4772278507.34877,4772278507.348769
190,2000,5938,3,765,512,10,3.532496213912964,1.7157580852508545,1253422698.7030365,1253422698.7030368
190,2000,5309,9,783,855,01,8.354861974716187,2.9516892433166504,7258006221.095381,7258006221.095379
190,2000,8383,8,780,1594,10,16.99530291557312,5.618446111679077,52122436187.53871,52122436187.53871
190,3000,4905,7,777,548,10,4.4616570472717285,1.973747968673706,1870665131.5435948,1870665131.5435953
190,3000,5975,6,774,618,01,4.6349778175354,1.8513209819793701,3434908804.452922,3434908804.45292
190,3000,9935,9,783,822,10,8.054581880569458,2.6286978721618652,8945504729.142397,8945504729.142395
190,4000,9059,12,792,1124,10,10.98717212677002,3.362459897994995,23557732372.680027,23557732372.68002
190,4000,5498,16,804,3154,10,44.227872133255005,16.319530963897705,214698302715.73572,214698302715.73566
190,4000,9949,11,792,3130,10,43.919596910476685,16.350096940994263,165781300175.40298,165781300175.40265
190,5000,2515,11,789,2018,01,25.2523410320282,10.208877086639404,299750034868.038,299750034868.0384
190,5000,6934,10,786,680,01,6.221167802810669,2.718843936920166,6956951329.200326,6956951329.200327
